ds,yhat,yhat_lower,yhat_upper
2023-08-03,1.3856799599995688,0.1244626381731623,2.6593220983592194
2023-08-28,1.2151537004289437,-0.05576048777156387,2.455904906773559
2023-09-04,1.2223688474874916,-0.09072392515901197,2.4640205825922865
2023-09-06,0.8056993669445002,-0.43182432096566614,1.9873271341916199
2023-09-15,1.1799572159244782,-0.14956026604807934,2.446004123261034
2023-09-18,1.2367991417358304,-0.06354214311383678,2.457760413024863
2023-09-21,1.4361859895753435,0.22127903975212704,2.698682160143119
2023-09-27,0.8273448083497519,-0.2732992983643462,2.0463057135479836
2023-10-03,1.103852777387584,-0.1252954093614145,2.392674523276661
2023-10-04,0.8345599556987792,-0.47332697899227266,2.094092940833574
2023-10-05,1.4506162840899806,0.13889049285217234,2.640196599737154
2023-10-12,1.4578314312462144,0.2928930455103056,2.7060664380468666
2023-10-17,1.1182830717544647,-0.0868206738812148,2.37015322011863
2023-10-18,0.8489902500384423,-0.3117378508248183,2.1515138082587892
2023-11-01,0.8634205443505976,-0.409140539654714,2.17659753988412
2023-11-15,0.8778508391724126,-0.29577778275240174,2.1328065088841908
2023-11-29,0.8922811339948021,-0.29801679551817983,2.2389258792378652
2023-12-07,1.5155526098054937,0.28167552074097013,2.781738528152657
2023-12-11,1.3233809092070947,0.06316381788225872,2.5118887416226356
2023-12-12,1.1760042504310815,-0.1612185415984613,2.4257349195645204
2023-12-15,1.2737541306352491,0.03379879646486442,2.475057079364935
2023-12-19,1.1832193977502958,-0.0527389589086797,2.4988956370653614
2024-01-03,0.9283568708193347,-0.27526768286707537,2.1814706685405794
2024-01-11,1.5516283465909917,0.3253190647593218,2.816477057049068
2024-01-12,1.3026147201114127,0.057685283365953466,2.523968674204401
2024-01-15,1.3594566459892237,0.13859683548851984,2.6185214267250507
2024-01-17,0.9427871655140683,-0.3630425878609559,2.188077747927245
2024-01-18,1.5588434938965268,0.21239482450073732,2.888730180793399
2024-01-19,1.309829867404196,-0.01827160792135781,2.547566105405292
2024-01-22,1.366671793033135,0.11912450152077807,2.7024918610986917
2024-01-23,1.219295134171958,-0.14248090820725298,2.47076991004384
2024-01-26,1.317045014116086,0.056262268747120786,2.5534557075173594
2024-01-29,1.3738869398790508,0.17860900592255,2.6323168089129103
2024-02-01,1.5732737876704874,0.19692611616722888,2.801693504801381
2024-02-02,1.3242601611403428,0.14082999812493108,2.6584281639939187
2024-02-14,0.9716477533757499,-0.286656148554228,2.3038188445427408
2024-02-27,1.2553708691344432,0.02001385847230663,2.5395131161554674
2024-02-28,0.9860780473968463,-0.21321806103669025,2.271165418078819
2024-03-12,1.2698011631562234,0.04423832895404897,2.4408353487470507
2024-03-14,1.6165646697067477,0.330329743765722,2.842458557095657
2024-04-10,1.0293689286728074,-0.2270325311605376,2.3040449318491913
2024-04-15,1.4532535561044526,0.2560791333292197,2.8125332619221064
2024-04-17,1.0365840754936297,-0.28068447515280825,2.2840088952945212
2024-04-18,1.6526404038512181,0.35933056755853776,2.877333751339441
2024-04-23,1.313092044328359,0.004369971191993154,2.5428504054580596
2024-04-26,1.4108419244450752,0.2049865487882406,2.6461030833862154
2024-04-30,1.3203071916220066,0.05929557090799182,2.557571574016052
2024-05-02,1.6670706983450767,0.44626942194301195,2.9011416451722973
2024-05-08,1.0582295173712284,-0.17891953216976522,2.3112620832454853
2024-05-17,1.4324873667278002,0.20939206850650477,2.6583692279727487
2024-05-24,1.4397025141349729,0.30083549903951634,2.731416066503605
2024-06-19,1.1015204018381324,-0.15889351797206647,2.4438165740057296
2024-07-02,1.3852435183329022,0.12652883603857396,2.575498738714415
2024-07-17,1.1303809918061964,-0.16277601840482717,2.4122031586597683
2024-07-26,1.5046388413397669,0.25287872717607673,2.7702418127630417
2024-08-26,1.5903413575955874,0.3999966989929385,2.941682979454063
2024-09-02,1.5975565051615783,0.3408898691962396,2.81477352350367
2024-09-03,1.4501798464217504,0.173234143896924,2.6485392676838524
2024-09-05,1.796943353184159,0.5338871578504222,3.072674568344251
2024-09-10,1.45739499398515,0.22648142044346053,2.691662489643439
2024-09-12,1.8041585007914147,0.4845632822299892,3.049711365461173
2024-09-13,1.5551448743607788,0.3686626287375169,2.833112294307211
2024-09-17,1.4646101417045787,0.23202218240326294,2.7250605563135526
2024-10-09,1.2169627632285986,0.03526990311731229,2.4450446860874386
2024-10-10,1.8330190916776534,0.5771289132553429,3.138597482333649
2024-10-11,1.584005465250824,0.3856135590023412,2.8842558912322116
2024-10-15,1.4934707326123222,0.25875127339597664,2.664008029567417
2024-11-04,1.6624928347013765,0.4100643975343033,2.8803851096012596
2024-11-05,1.51511617599448,0.2065706018075379,2.751798577149449
2024-11-20,1.2602536499569055,0.018759006738549373,2.449603505383007
2024-11-26,1.5367616193761255,0.29943188484657557,2.797256590845702
2024-11-28,1.8835251262280979,0.6659969840750336,3.102440333094525
2024-12-03,1.5439767672507234,0.26660146276288765,2.8721135245297296
2024-12-04,1.2746839456362327,-0.005984883365734125,2.573086564628526
2024-12-06,1.6417266475973398,0.4157329628842248,2.86388363923147
2024-12-18,1.2891142407158702,0.03567962753495875,2.5552034667226415
2025-01-09,1.9268160117514368,0.6642432435022029,3.2359018600726217
2025-01-17,1.6850175328346069,0.5418805063489044,3.037060405080549
2025-01-20,1.7418594589516978,0.46832445147051976,2.9152196290264496
2025-01-23,1.941246307097032,0.6829719346898785,3.295462019530788
